,Unnamed: 0,class number,class name,English_name,Scientific_name,type,sound_type
0,0,none,"noise sample, noise sample",Empty,noise sample,noise,noise sample
1,1,1,"Aegithalos caudatus, Aegithalos caudatus, call",Long-tailed Tit,Aegithalos caudatus,bird,"Aegithalos caudatus, call"
2,2,2,"Alauda arvensis, Alauda arvensis, song",Eurasian Skylark,Alauda arvensis,bird,"Alauda arvensis, song"
3,3,3,"Anthus trivialis, Anthus trivialis, song",Tree Pipit,Anthus trivialis,bird,"Anthus trivialis, song"
4,4,4,"Buteo buteo, Buteo buteo, call",Common Buzzard,Buteo buteo,bird,"Buteo buteo, call"
5,5,5,"Linaria cannabina, Linaria cannabina, call",Common Linnet,Linaria cannabina,bird,"Linaria cannabina, call"
6,6,6,"Linaria cannabina, Linaria cannabina, song",Common Linnet,Linaria cannabina,bird,"Linaria cannabina, song"
7,7,7,"Carduelis carduelis, Carduelis carduelis, call",European Goldfinch,Carduelis carduelis,bird,"Carduelis carduelis, call"
8,8,8,"Carduelis carduelis, Carduelis carduelis, song",European Goldfinch,Carduelis carduelis,bird,"Carduelis carduelis, song"
9,9,9,"Certhia brachydactyla, Certhia brachydactyla, call",Short-toed Treecreeper,Certhia brachydactyla,bird,"Certhia brachydactyla, call"
10,10,10,"Certhia brachydactyla, Certhia brachydactyla, song",Short-toed Treecreeper,Certhia brachydactyla,bird,"Certhia brachydactyla, song"
11,11,11,"Cettia cetti, Cettia cetti, song",Cetti's Warbler,Cettia cetti,bird,"Cettia cetti, song"
12,12,12,"Chloris chloris, Chloris chloris, call",European Greenfinch,Chloris chloris,bird,"Chloris chloris, call"
13,13,13,"Cicadatra atra, Cicadatra atra, song",Black Cicada,Cicadatra atra,insect,"Cicadatra atra, song"
14,14,14,"Cicada orni, Cicada orni, song",Grey Cicada,Cicada orni,insect,"Cicada orni, song"
15,15,15,"Cisticola juncidis, Cisticola juncidis, song",Zitting Cisticola,Cisticola juncidis,bird,"Cisticola juncidis, song"
16,16,16,"Columba palumbus, Columba palumbus, song",Common Wood Pigeon,Columba palumbus,bird,"Columba palumbus, song"
17,17,17,"Corvus corone, Corvus corone, call",Carrion Crow,Corvus corone,bird,"Corvus corone, call"
18,18,18,"Dendrocopos major, Dendrocopos major, call",Great Spotted Woodpecker,Dendrocopos major,bird,"Dendrocopos major, call"
